helmet#;X1X2X3;x;y;z;meanSTD;stdSTD;flag
10;cde;-263.169884;77.592645;-195.036429;2.032706;0.831104;0
10;bde;79.045561;225.753165;-341.964806;1.663604;0.468538;0
10;bce;273.009980;-87.225802;-303.297036;2.068521;1.397917;0
10;bcd;273.009980;-309.386574;-62.432391;1.827313;0.479536;0
10;ade;209.163715;342.053936;-212.331023;2.728682;0.704321;0
10;ace;304.284369;-328.681559;67.326479;11.157690;12.741924;1
10;acd;304.284369;-278.534945;188.887771;1.448811;0.616335;0
10;abe;207.501725;223.923248;335.646303;1.637160;0.749136;0
10;abd;207.501725;70.893999;397.198343;1.280376;0.993164;0
10;abc;207.501725;253.850186;313.612517;1.412159;0.575724;0
11;cde;-39.921586;185.336139;-298.640754;1.546265;0.723734;0
11;bde;141.856645;402.152069;106.838520;1.408694;0.927134;0
11;bce;275.320220;140.973182;312.393102;1.522352;0.579089;0
11;bcd;275.320220;-186.677983;287.423787;1.745122;0.370890;0
11;ade;92.223879;245.304993;-249.063525;1.528917;0.473934;0
11;ace;111.804499;339.598303;53.680361;1.719728;1.044503;0
11;acd;111.804499;-3.818643;343.798336;1.369565;1.033067;0
11;abe;113.396085;183.379535;-290.216683;1.276130;1.129241;0
11;abd;113.396085;2.284394;-343.290947;1.378754;0.899163;0
11;abc;113.396085;74.649410;-335.084455;1.243337;1.106374;0
12;cde;-83.018360;-0.155249;312.163664;1.053436;0.911148;0
12;bde;97.997092;241.332536;345.610102;1.173110;0.693509;0
12;bce;304.427909;-55.419345;-302.560876;1.316327;0.399932;0
12;bcd;304.427909;-14.779799;-307.238569;1.375999;0.349673;0
12;ade;74.149392;183.152344;337.482570;1.193733;0.517249;0
12;ace;231.039014;-145.148793;-280.156476;1.491389;0.586844;0
12;acd;231.039014;-79.940192;-305.232561;1.213071;0.842009;0
12;abe;-43.139152;203.820302;330.958469;1.093992;0.838985;0
12;abd;-43.139152;221.901988;319.115938;1.202212;0.840339;0
12;abc;-43.139152;237.617077;307.593154;1.223895;0.807855;0
13;cde;335.717037;-323.384371;142.815770;2.727536;1.997503;0
13;bde;197.109616;-130.719665;364.225165;1.238759;1.239717;0
13;bce;145.286521;44.753344;406.803733;1.232391;1.142456;0
13;bcd;145.286521;219.005851;345.728574;1.330334;1.045741;0
13;ade;78.966411;-45.791355;320.865229;1.390458;0.948667;0
13;ace;23.512055;78.178681;323.455393;1.269070;0.919395;0
13;acd;23.512055;189.261735;273.704950;1.454622;0.730820;0
13;abe;-140.523244;140.468429;-267.973719;1.181161;1.089817;0
13;abd;-140.523244;107.331969;-282.879957;1.175483;1.115153;0
13;abc;-140.523244;29.172415;-301.148464;1.275835;0.878506;0
14;cde;25.711860;-68.077594;-298.561846;0.972795;1.228138;0
14;bde;239.628403;-124.903772;-270.378738;0.989967;1.192549;0
14;bce;227.415029;-99.963249;-290.546352;0.973983;1.203270;0
14;bcd;227.415029;207.569860;-226.497435;2.676407;1.971704;0
14;ade;180.947779;99.005712;-320.331907;1.385489;0.288969;0
14;ace;239.121084;-260.788413;-141.289952;1.796124;0.579970;0
14;acd;239.121084;59.695587;290.541711;1.309240;0.548645;0
14;abe;168.496084;29.703316;340.416669;1.215416;0.874235;0
14;abd;168.496084;190.847496;283.448597;1.378556;0.300550;0
14;abc;168.496084;174.235071;293.952471;1.366470;0.345414;0
15;cde;62.882230;-259.874973;240.862500;1.946197;0.243340;0
15;bde;147.175772;-66.781043;379.817240;1.999706;0.060742;0
15;bce;209.855448;-211.697004;-285.530398;1.803960;0.791419;0
15;bcd;209.855448;32.758114;-353.934974;1.591472;1.339227;0
15;ade;-54.790573;-16.280949;256.158400;1.690932;1.152463;0
15;ace;-33.305200;-57.182546;-253.978647;1.874356;0.575940;0
15;acd;-33.305200;-44.109174;-256.572404;1.858149;0.641730;0
15;abe;-107.622161;20.128635;238.529511;1.850210;0.757387;0
15;abd;-107.622161;154.246370;183.055927;1.901586;0.567297;0
15;abc;-107.622161;-3.050392;239.357939;1.811941;0.874464;0
16;cde;-176.301148;-217.969847;-244.480660;1.989678;0.986490;0
16;bde;-110.160462;-184.880356;-208.741518;1.315896;0.562168;0
16;bce;-151.428722;-150.006095;-210.846124;1.361402;0.627472;0
16;bcd;-151.428722;226.682235;124.487794;4.470096;3.343019;0
16;ade;-167.123094;69.413062;-229.709692;1.436831;0.487412;0
16;ace;-99.864898;188.201992;-200.206931;3.777844;1.211238;0
16;acd;-99.864898;-147.315643;232.028941;1.661982;0.671816;0
16;abe;58.473426;-194.201306;210.669077;1.364687;0.767224;0
16;abd;58.473426;-178.028081;224.502683;1.390051;0.749109;0
16;abc;58.473426;-196.233921;208.773828;1.572624;0.587380;0
17;cde;42.667864;-223.610797;-244.977638;1.347016;0.532205;0
17;bde;3.406629;167.276800;-347.849613;1.182596;0.883351;0
17;bce;223.142948;-132.735351;285.623552;1.348967;0.510528;0
17;bcd;223.142948;-69.286276;307.244151;1.267734;0.737951;0
17;ade;161.034009;5.322030;-383.289597;1.216647;0.848603;0
17;ace;250.436327;-117.272906;310.483381;1.319370;0.562159;0
17;acd;250.436327;45.047846;328.821756;1.290466;0.577373;0
17;abe;179.156654;74.611491;-367.705387;1.119812;1.019182;0
17;abd;179.156654;24.409202;-374.403857;1.198626;0.893849;0
17;abc;179.156654;244.172513;-284.875531;1.293963;0.573637;0
18;cde;-52.451569;-193.288769;259.831109;1.642877;0.221473;0
18;bde;89.762695;2.315743;367.779946;1.255074;1.163059;0
18;bce;212.903254;-257.116473;-178.546019;2.356539;0.329344;0
18;bcd;212.903254;-67.999276;-305.567151;1.655156;0.716405;0
18;ade;143.447610;78.383560;375.452721;1.268592;1.137845;0
18;ace;246.752966;-179.327173;-273.200699;1.704384;0.619168;0
18;acd;246.752966;-43.954923;-323.830829;1.366641;1.070545;0
18;abe;156.082155;76.678801;-370.735324;1.114331;1.356237;0
18;abd;156.082155;101.861600;-364.621098;1.144731;1.315625;0
18;abc;156.082155;221.984128;-306.671408;1.362877;0.960483;0
19;cde;-10.414710;81.121113;-378.267191;2.222920;1.455629;0
19;bde;186.998264;21.071709;-377.853028;1.388454;1.184979;0
19;bce;179.868130;52.706969;-378.227045;1.549949;1.327113;0
19;bcd;179.868130;58.046080;-377.435128;1.911762;1.853539;0
19;ade;25.800098;46.235545;-290.180377;1.591464;0.667290;0
19;ace;-19.222791;113.751094;-271.466882;1.839916;0.676801;0
19;acd;-19.222791;234.005274;178.464351;3.292362;1.443392;0
19;abe;-50.180315;165.199325;239.163623;1.532047;0.821294;0
19;abd;-50.180315;48.535581;286.590964;1.661226;0.204629;0
19;abc;-50.180315;7.338300;290.569873;1.859956;0.245779;0
1;cde;-120.055140;-6.903424;313.095204;2.096125;1.467104;0
1;bde;72.998847;47.679387;-378.086250;1.291736;1.075198;0
1;bce;223.648539;-192.341763;-252.054928;1.935026;0.935188;0
1;bcd;223.648539;-311.795022;-57.472974;2.144920;1.864184;0
1;ade;194.631021;146.577946;365.525253;1.417168;0.766236;0
1;ace;285.131866;-181.813070;-280.357106;2.935876;0.244247;0
1;acd;285.131866;-130.032737;-307.825468;2.368697;0.319160;0
1;abe;273.777802;0.768864;343.540137;1.356098;1.005047;0
1;abd;273.777802;-81.993195;333.612769;1.473747;0.733015;0
1;abc;273.777802;132.619700;316.909388;1.331028;1.243966;0
20;cde;127.279547;288.468038;-302.001774;0.881094;0.289652;0
20;bde;124.964709;187.365716;-313.660540;0.854565;0.253336;0
20;bce;-24.214810;269.062087;-275.906598;0.802769;0.312590;0
20;bcd;-24.214810;344.481970;-172.771134;0.912646;0.631041;0
20;ade;-31.106192;252.280773;-137.211271;1.127616;0.164927;0
20;ace;-25.005349;241.828709;155.995699;0.985007;0.108906;0
20;acd;-25.005349;-18.513104;287.182743;0.807902;0.218068;0
20;abe;87.099989;83.137915;262.571329;0.703540;0.487366;0
20;abd;87.099989;-80.578538;263.367806;0.808158;0.238929;0
20;abc;87.099989;-198.067390;191.375935;0.833292;0.163153;0
21;cde;156.118050;136.918540;-401.522230;1.225044;0.400210;0
21;bde;-148.877945;204.568646;88.415160;1.329685;0.061447;0
21;bce;-38.656787;-50.106925;260.433655;0.953213;1.014850;0
21;bcd;-38.656787;-178.666788;195.997055;1.097634;0.669521;0
21;ade;84.725670;258.039471;-335.852182;1.763394;0.367422;0
21;ace;41.812044;154.552402;401.159177;1.290319;0.599235;0
21;acd;41.812044;79.742484;422.440779;1.210095;0.829059;0
21;abe;374.192010;24.726248;-214.318510;1.188799;0.830459;0
21;abd;374.192010;-45.560280;-210.873520;1.150525;1.019596;0
21;abc;374.192010;188.047362;-105.745385;1.184588;0.813450;0
22;cde;282.208783;-101.634200;-333.075117;1.121291;1.200438;0
22;bde;200.975359;-162.096447;303.218664;1.339022;0.695389;0
22;bce;198.262797;15.234511;345.061072;1.186162;1.154720;0
22;bcd;198.262797;45.794344;342.347229;1.258185;1.145751;0
22;ade;260.606557;-15.150181;-319.542312;1.217873;1.111109;0
22;ace;162.045439;256.183839;279.935125;1.321937;0.925374;0
22;acd;162.045439;215.517068;312.323933;1.330507;0.903500;0
22;abe;205.540909;156.271426;-321.846015;1.330149;0.872905;0
22;abd;205.540909;160.263555;-319.876694;1.329258;0.905786;0
22;abc;205.540909;117.368470;-337.979706;1.388895;0.714672;0
2;cde;255.853298;-40.086762;-342.869319;3.974310;2.201516;0
2;bde;207.919910;122.575802;-361.083190;3.446109;1.260812;0
2;bce;105.906146;214.561451;-362.473438;3.424176;1.274929;0
2;bcd;105.906146;241.329870;-345.230104;3.192920;1.350744;0
2;ade;182.363213;73.682697;-364.590580;2.815015;1.320735;0
2;ace;88.460656;197.598419;-353.183013;3.080327;1.015252;0
2;acd;88.460656;299.379557;-272.305565;3.253700;0.706008;0
2;abe;44.851252;366.622825;187.434095;5.054188;2.147168;0
2;abd;44.851252;221.869366;346.934722;3.157201;1.617250;0
2;abc;44.851252;76.967820;404.556974;3.097604;1.684506;0
3;cde;265.331795;282.009954;-237.034989;1.393157;0.862165;0
3;bde;90.932591;256.543708;-256.509214;1.145085;0.593547;0
3;bce;29.639861;272.419243;254.536797;1.281658;0.419188;0
3;bcd;29.639861;92.069362;361.283765;0.902039;0.817262;0
3;ade;101.591946;180.235825;-285.624446;0.982977;0.708960;0
3;ace;-36.546384;295.908490;188.386183;1.122791;0.497982;0
3;acd;-36.546384;152.592775;315.859231;1.066555;0.471263;0
3;abe;26.243798;176.815286;-304.031221;0.952013;0.713730;0
3;abd;26.243798;129.345244;-327.060245;0.964561;0.699986;0
3;abc;26.243798;-37.786236;-349.672308;1.110707;0.267830;0
4;cde;283.195957;-193.014557;185.797827;1.266370;0.621447;0
4;bde;137.853461;4.110315;305.812972;1.062987;0.729610;0
4;bce;35.394694;123.513999;309.892911;1.042975;0.750823;0
4;bcd;35.394694;225.605554;245.746670;1.172057;0.388788;0
4;ade;60.765116;104.891649;268.930931;0.962739;0.980704;0
4;ace;-103.420730;198.687759;191.952631;1.201168;0.443497;0
4;acd;-103.420730;249.509221;118.607971;1.140761;0.613852;0
4;abe;-3.547181;111.754267;-272.977886;0.933988;1.016265;0
4;abd;-3.547181;62.710739;-288.224431;0.979428;0.945354;0
4;abc;-3.547181;-103.675261;-276.147331;1.174984;0.536180;0
5;cde;-19.087060;224.155173;294.808456;1.497384;0.152063;0
5;bde;100.552179;276.502955;286.559155;1.318962;0.766001;0
5;bce;176.883392;275.433981;-248.049863;1.437208;0.558066;0
5;bcd;176.883392;-22.526733;-369.981303;1.190707;0.883058;0
5;ade;28.319589;267.054645;204.817402;1.317431;0.693565;0
5;ace;97.017798;221.630381;-235.666181;1.320784;0.358928;0
5;acd;97.017798;-48.493018;-319.854378;1.306843;0.522786;0
5;abe;-54.958338;241.136803;-230.008276;1.195603;0.723393;0
5;abd;-54.958338;46.792900;-329.940883;1.141517;0.902590;0
5;abc;-54.958338;247.085422;-223.605453;1.218400;0.721743;0
6;cde;299.776445;-171.211045;-316.014595;1.305246;0.708720;0
6;bde;85.382160;155.463332;-334.386794;1.282656;0.800665;0
6;bce;189.144076;-12.161078;327.643525;1.250042;0.826381;0
6;bcd;189.144076;0.376477;327.868852;1.243426;0.854476;0
6;ade;289.870592;-114.895328;-313.792975;1.328680;0.674466;0
6;ace;-0.621330;316.687510;308.869828;1.304247;0.739833;0
6;acd;-0.621330;313.580409;312.023730;1.310314;0.747089;0
6;abe;298.020219;37.802876;-324.725843;1.272044;0.805564;0
6;abd;298.020219;53.246694;-322.553445;1.254809;0.843712;0
6;abc;298.020219;22.629953;-326.134464;1.301125;0.774796;0
7;cde;-30.435191;33.438794;382.887731;18.787889;26.129802;1
7;bde;-241.050069;174.460940;14.193608;27.569492;36.922785;1
7;bce;-99.520626;-43.388041;-284.071732;13.947365;18.424267;1
7;bcd;-99.520626;-219.760518;-188.527554;1.016127;0.120879;0
7;ade;93.901485;305.791352;95.132506;102.404905;119.510180;1
7;ace;159.430497;44.610844;-379.370036;1.417845;1.260926;0
7;acd;159.430497;-42.129429;-379.661322;0.955774;0.551333;0
7;abe;303.515155;-248.513680;89.312475;42.770356;44.742697;1
7;abd;303.515155;-279.817239;30.201823;1.413156;0.939997;0
7;abc;303.515155;-88.457161;267.185728;1.220455;0.347214;0
8;cde;14.239056;-29.227036;-290.781684;1.194851;1.227458;0
8;bde;-90.071556;143.578282;-330.143481;1.471671;0.926894;0
8;bce;229.431683;-2.328483;291.682300;1.242310;1.230409;0
8;bcd;229.431683;212.081149;200.269675;1.275411;0.450215;0
8;ade;171.771739;182.435514;-330.335886;1.408577;0.714636;0
8;ace;336.275600;-116.139354;212.928923;1.682448;0.294471;0
8;acd;336.275600;33.622409;240.205618;1.425522;0.467703;0
8;abe;189.048970;164.436724;-330.349831;1.429423;0.681416;0
8;abd;189.048970;-173.236725;325.819060;1.578359;0.710941;0
8;abc;189.048970;279.184678;-241.302886;1.449190;0.136399;0
9;cde;104.395892;-51.250557;-410.826800;2.487900;2.788362;0
9;bde;144.356879;-153.536144;-356.639327;1.714967;1.404628;0
9;bce;2.600945;-54.939958;-410.569008;2.222764;2.564293;0
9;bcd;2.600945;335.913216;242.407468;1.673064;1.001809;0
9;ade;15.349830;-39.280657;-303.011353;1.227994;0.719958;0
9;ace;-62.595393;271.405583;-126.457878;2.809323;1.219406;0
9;acd;-62.595393;66.962357;291.880068;1.274693;0.462571;0
9;abe;-72.808642;102.547767;278.874236;1.771394;0.309136;0
9;abd;-72.808642;30.270416;295.600585;1.188813;0.694055;0
9;abc;-72.808642;6.447506;297.071888;1.323011;0.511856;0
